Year,Study.Area,Treatment,Previous.Year.Cones,Raw.Spring.Squirrel.Density
1989,KL,Control,3.09908301,1.03
1990,KL,Control,0,1
1991,KL,Control,2.2507839,0.78
1992,KL,Control,0.3960178,0.65
1993,KL,Control,3.53674679,0.98
1994,KL,Control,5.0893649,1.84
1995,KL,Control,0.3803238,1.41
1996,KL,Control,3.6682698,1.58
1997,KL,Control,3.3219258,1.63
1998,KL,Control,2.87297989,2.12
1999,KL,Control,5.1694959,3.58
2000,KL,Control,2.4994467,2.52
2001,KL,Control,0.4551526,1.61
2002,KL,Control,2.0509691,1.51
2003,KL,Control,2.3552136,1.23
2004,KL,Control,1.3867001,1.007
2005,KL,Control,1.1707197,0.91
2006,KL,Control,4.1826714,2.04
2007,KL,Control,0.159305309,1.56
2008,KL,Control,1.964850169,1.461
2009,KL,Control,0.775111227,1.159
2010,KL,Control,1.746,1.184
2011,KL,Control,5.129,1.864
1989,SU,Control,2.7709279,1.46
1990,SU,Control,0,1.59
1991,SU,Control,1.67056379,1.59
1992,SU,Control,0.06662306,1.96
1993,SU,Control,2.69214334,1.59
1994,SU,Control,3.98814528,2.54
1995,SU,Control,0.25034318,1.79
1996,SU,Control,2.85455254,2.14
1997,SU,Control,2.78712992,2.06
1998,SU,Control,1.76386032,2.17
1999,SU,Control,4.54641951,4.26
2000,SU,Control,1.32557337,2.59
2001,SU,Control,0.22600754,2.04
2002,SU,Control,1.21606182,1.71
2003,SU,Control,1.48459026,1.18
2004,SU,Control,0.48592917,0.98
2005,SU,Control,0.91907742,1.16
2006,SU,Control,2.5481592,1.99
2007,SU,Control,0.253066355,1.26
2008,SU,Control,1.309722089,1.361
2009,SU,Control,0.458215034,0.7307
2010,SU,Control,1.016,0.655
2011,SU,Control,4.992,1.534
2004,AG,Food-add,1.0450085,1.32
2005,AG,Food-add,0.7250491,1.72
2006,AG,Food-add,0.07226174,1.96
2007,AG,Food-add,0.536180364,2.27
2008,AG,Food-add,1.984441342,2.866
2009,AG,Food-add,0.236200568,2.315
2010,AG,Food-add,0.90047,2.579
2011,AG,Food-add,3.7402,2.67
