Treatment	Line	Sex	Mass	Vburst
CN	1	F	1.33	85.4644995
CN	1	F	1.14	138.109689
AA	2	F	1.74	190.754878
AA	2	F	1.76	168.192654
AA	1	F	1.75	153.151171
AA	1	F	1.53	153.151171
CN	2	M	0.91	92.9852408
CN	2	M	0.83	138.109689
CN	2	M	0.8	123.068206
CN	2	M	0.79	138.109689
AA	2	M	1.2	168.192654
AA	2	M	1.17	168.192654
AA	2	M	1.22	168.192654
AA	2	M	1.29	183.234136
AA	2	M	0.5	168.192654
CN	2	M	0.78	92.9852408
CN	2	M	0.91	153.151171
CN	2	M	0.98	108.026723
CN	2	M	0.91	123.068206
CN	2	M	0.8	108.026723
AA	1	M	1.2	198.275619
AA	1	M	1.24	198.275619
AA	1	M	1.08	183.234136
AA	1	M	1	183.234136
AA	1	F	1.98	213.317102
AA	1	F	2.28	198.275619
AA	2	F	1.68	213.317102
AA	1	F	1.73	198.275619
AA	1	F	1.64	198.275619
AA	1	F	1.6	168.192654
AA	1	F	1.78	198.275619
CN	1	F	0.99	123.068206
CN	2	F	1.29	153.151171
CN	2	F	1.32	138.109689
CN	2	F	1.35	153.151171
CN	2	F	1.49	168.192654
AA	1	M	1	183.234136
AA	1	M	1.09	190.754878
AA	2	F	1.85	153.151171
AA	2	F	1.75	168.192654
AA	2	F	2.08	153.151171
CN	2	F	1.59	153.151171
CN	2	F	1.33	108.026723
CN	2	F	1.56	153.151171
AA	1	M	1.07	153.151171
AA	1	M	1.11	168.192654
CN	1	M	0.83	153.151171
CN	1	M	1.01	123.068206
CN	1	M	1.01	123.068206
AA	1	F	2.15	213.317102
AA	1	F	1.92	183.234136
AA	1	F	1.95	198.275619
CN	1	F	1.37	108.026723
CN	1	F	1.82	108.026723
CN	1	F	1.61	108.026723
AA	1	M	1.19	183.234136
AA	1	M	1.07	168.192654
AA	1	M	1.11	168.192654
CN	1	M	1.01	92.9852408
CN	1	M	0.77	92.9852408
AA	2	F	1.93	183.234136
AA	2	F	1.97	183.234136
AA	2	F	1.76	183.234136
CN	2	F	1.44	138.109689
CN	2	F	1.71	123.068206
CN	1	M	0.8	123.068206
CN	1	M	0.63	108.026723
AA	2	M	1.01	183.234136
AA	2	M	1.24	183.234136
AA	2	M	1.61	183.234136
CN	2	M	0.73	123.068206
CN	2	M	0.94	168.192654
CN	2	M	0.76	123.068206
AA	2	F	1.82	153.151171
AA	2	F	1.58	153.151171
CN	1	F	1.81	108.026723
CN	1	F	1.46	153.151171
CN	1	F	1.43	138.109689
AA	1	M	0.82	198.275619
AA	2	M	1.36	138.109689
AA	2	M	1.05	168.192654
AA	2	M	1.02	168.192654
CN	1	M	0.79	92.9852408
CN	1	M	0.78	123.068206
CN	1	M	0.8	123.068206
AA	1	F	2.14	198.275619
AA	2	F	2.07	168.192654
AA	2	F	2.05	183.234136
AA	2	F	2.13	198.275619
CN	2	F	1.39	123.068206
CN	2	F	1.56	123.068206
AA	1	M	0.97	168.192654
AA	2	M	1.02	168.192654
AA	2	M	1.1	168.192654
CN	2	M	0.67	108.026723
CN	2	M	0.9	92.9852408
AA	1	F	1.94	198.275619
AA	1	F	1.57	198.275619
CN	1	F	1.24	138.109689
CN	2	F	1.77	153.151171
AA	1	M	1	198.275619
AA	1	M	1.25	183.234136
CN	1	M	0.83	108.026723
CN	2	M	0.74	108.026723
CN	2	M	0.9	108.026723
AA	2	F	1.99	153.151171
AA	2	F	1.89	153.151171
