ID	Treatment	Trial	Sprint	Time
sc07	Control	Si1	72	pre
sc01	Endurance	Si1	87	pre
sc02	Sprint	Si1	93	pre
sc03	Endurance	Si1	80	pre
sc04	Sprint	Si1	83	pre
sc05	Endurance	Si1	100	pre
sc06	Endurance	Si1	86	pre
sc08	Sprint	Si1	88	pre
sc09	Control	Si1	87	pre
sc10	Control	Si1	71	pre
sc11	Control	Si1	88	pre
sc12	Control	Si1	83	pre
sc13	Endurance	Si1	92	pre
sc14	Control	Si1	72	pre
sc15	Control	Si1	95	pre
sc16	Sprint	Si1	88	pre
sc17	Control	Si1	95	pre
sc18	Endurance	Si1	84	pre
sc19	Sprint	Si1	94	pre
sc20	Control	Si1	72	pre
sc21	Control	Si1	91	pre
sc22	Endurance	Si1	75	pre
sc23	Endurance	Si1	99	pre
sc24	Endurance	Si1	82	pre
sc25	Sprint	Si1	87	pre
sc26	Control	Si1	85	pre
sc27	Sprint	Si1	96	pre
sc28	Sprint	Si1	77	pre
sc29	Sprint	Si1	88	pre
sc30	Endurance	Si1	96	pre
sc31	Endurance	Si1	93	pre
sc32	Endurance	Si1	76	pre
sc33	Sprint	Si1	91	pre
sc34	Control	Si1	90	pre
sc35	Sprint	Si1	96	pre
sc36	Sprint	Si1	97	pre
sc01	Endurance	Si2	89	pre
sc02	Sprint	Si2	96	pre
sc03	Endurance	Si2	78	pre
sc04	Sprint	Si2	86	pre
sc05	Endurance	Si2	88	pre
sc06	Endurance	Si2	93	pre
sc07	Control	Si2	72	pre
sc08	Sprint	Si2	82	pre
sc09	Control	Si2	79	pre
sc10	Control	Si2	74	pre
sc11	Control	Si2	86	pre
sc12	Control	Si2	78	pre
sc13	Endurance	Si2	88	pre
sc14	Control	Si2	78	pre
sc15	Control	Si2	94	pre
sc16	Sprint	Si2	92	pre
sc17	Control	Si2	84	pre
sc18	Endurance	Si2	79	pre
sc19	Sprint	Si2	89	pre
sc20	Control	Si2	71	pre
sc21	Control	Si2	90	pre
sc22	Endurance	Si2	84	pre
sc23	Endurance	Si2	89	pre
sc24	Endurance	Si2	81	pre
sc25	Sprint	Si2	81	pre
sc26	Control	Si2	84	pre
sc27	Sprint	Si2	88	pre
sc28	Sprint	Si2	78	pre
sc29	Sprint	Si2	88	pre
sc30	Endurance	Si2	70	pre
sc31	Endurance	Si2	93	pre
sc32	Endurance	Si2	80	pre
sc33	Sprint	Si2	92	pre
sc34	Control	Si2	88	pre
sc35	Sprint	Si2	97	pre
sc36	Sprint	Si2	80	pre
sc01	Endurance	Si3	78	pre
sc02	Sprint	Si3	91	pre
sc03	Endurance	Si3	79	pre
sc04	Sprint	Si3	69	pre
sc05	Endurance	Si3	80	pre
sc06	Endurance	Si3	83	pre
sc07	Control	Si3	73	pre
sc08	Sprint	Si3	87	pre
sc09	Control	Si3	85	pre
sc10	Control	Si3	70	pre
sc11	Control	Si3	84	pre
sc12	Control	Si3	80	pre
sc13	Endurance	Si3	75	pre
sc14	Control	Si3	87	pre
sc15	Control	Si3	93	pre
sc16	Sprint	Si3	97	pre
sc17	Control	Si3	91	pre
sc18	Endurance	Si3	75	pre
sc19	Sprint	Si3	90	pre
sc20	Control	Si3	77	pre
sc21	Control	Si3	83	pre
sc22	Endurance	Si3	73	pre
sc23	Endurance	Si3	97	pre
sc24	Endurance	Si3	87	pre
sc25	Sprint	Si3	61	pre
sc26	Control	Si3	71	pre
sc27	Sprint	Si3	88	pre
sc28	Sprint	Si3	74	pre
sc29	Sprint	Si3	87	pre
sc30	Endurance	Si3	87	pre
sc31	Endurance	Si3	98	pre
sc32	Endurance	Si3	82	pre
sc33	Sprint	Si3	89	pre
sc34	Control	Si3	86	pre
sc35	Sprint	Si3	94	pre
sc36	Sprint	Si3	83	pre
sc01	Endurance	Sf1	89	post
sc02	Sprint	Sf1	99	post
sc03	Endurance	Sf1	75	post
sc04	Sprint	Sf1	105	post
sc05	Endurance	Sf1	84	post
sc06	Endurance	Sf1	76	post
sc07	Control	Sf1	72	post
sc08	Sprint	Sf1	89	post
sc09	Control	Sf1	92	post
sc10	Control	Sf1	81	post
sc11	Control	Sf1	88	post
sc12	Control	Sf1	85	post
sc13	Endurance	Sf1	90	post
sc14	Control	Sf1	87	post
sc15	Control	Sf1	72	post
sc16	Sprint	Sf1	100	post
sc17	Control	Sf1	92	post
sc18	Endurance	Sf1	76	post
sc19	Sprint	Sf1	92	post
sc20	Control	Sf1	92	post
sc21	Control	Sf1	90	post
sc22	Endurance	Sf1	84	post
sc23	Endurance	Sf1	97	post
sc24	Endurance	Sf1	92	post
sc25	Sprint	Sf1	105	post
sc26	Control	Sf1	76	post
sc27	Sprint	Sf1	92	post
sc28	Sprint	Sf1	88	post
sc29	Sprint	Sf1	96	post
sc30	Endurance	Sf1	96	post
sc31	Endurance	Sf1	78	post
sc32	Endurance	Sf1	91	post
sc33	Sprint	Sf1	90	post
sc34	Control	Sf1	84	post
sc35	Sprint	Sf1	98	post
sc36	Sprint	Sf1	103	post
sc01	Endurance	Sf2	96	post
sc02	Sprint	Sf2	98	post
sc03	Endurance	Sf2	75	post
sc04	Sprint	Sf2	95	post
sc05	Endurance	Sf2	92	post
sc06	Endurance	Sf2	72	post
sc07	Control	Sf2	78	post
sc08	Sprint	Sf2	97	post
sc09	Control	Sf2	80	post
sc10	Control	Sf2	74	post
sc11	Control	Sf2	89	post
sc12	Control	Sf2	80	post
sc13	Endurance	Sf2	89	post
sc14	Control	Sf2	83	post
sc15	Control	Sf2	86	post
sc16	Sprint	Sf2	104	post
sc17	Control	Sf2	93	post
sc18	Endurance	Sf2	75	post
sc19	Sprint	Sf2	98	post
sc20	Control	Sf2	95	post
sc21	Control	Sf2	83	post
sc22	Endurance	Sf2	92	post
sc23	Endurance	Sf2	95	post
sc24	Endurance	Sf2	81	post
sc25	Sprint	Sf2	103	post
sc26	Control	Sf2	75	post
sc27	Sprint	Sf2	83	post
sc28	Sprint	Sf2	91	post
sc29	Sprint	Sf2	104	post
sc30	Endurance	Sf2	91	post
sc31	Endurance	Sf2	86	post
sc32	Endurance	Sf2	84	post
sc33	Sprint	Sf2	93	post
sc34	Control	Sf2	80	post
sc35	Sprint	Sf2	100	post
sc36	Sprint	Sf2	82	post
sc01	Endurance	Sf3	89	post
sc02	Sprint	Sf3	96	post
sc03	Endurance	Sf3	76	post
sc04	Sprint	Sf3	89	post
sc05	Endurance	Sf3	84	post
sc06	Endurance	Sf3	75	post
